Buyer;BuyerSubSector;Client;ClientSubSector;NDeals;NumberOfNDAPerBuyerInSubSector;NumberOfGosPerBuyerInSubSector;NumberOfGosPerSizeInSubSector;NumberOfNBOperDealsInSubSector;AverageSizePerDealInSubSector;MedianSizePerDealInSubSector;NBOLastDatePerDealInSubSector;DealClosePerClientSector;LastDateCloseDealPerInSubSector;MostRecentContact;IsEqual
Korn & Ferry;;Framework;IT Services;2;0;2;1;0;150;150;;0;11/02/2022 00:00;;false
Korn & Ferry;;K21;IT Services;2;0;2;1;0;150;150;;0;11/02/2022 00:00;;false
Korn Ferry International;;BMI Nexialistas;Consulting;2;0;1;0;0;100;100;;1;31/03/2022 00:00;sergio.averbach@kornferry.com;false
Korn Ferry International;;AfferoLab;Consulting;2;0;1;0;0;100;100;;1;31/03/2022 00:00;sergio.averbach@kornferry.com;false
Kosé Corporation;Produtos de Uso Pessoal e Cosméticos;Forever Liss;Produtos de Uso Pessoal e Cosméticos;3;0;2;0;0;800;800;;1;15/10/2021 00:00;;true
Kosé Corporation;Produtos de Uso Pessoal e Cosméticos;Lola Cosmetics;Produtos de Uso Pessoal e Cosméticos;3;0;2;0;0;800;800;;1;15/10/2021 00:00;;true
Kosé Corporation;Produtos de Uso Pessoal e Cosméticos;Skala;Produtos de Uso Pessoal e Cosméticos;3;0;2;0;0;800;800;;1;15/10/2021 00:00;;true
Kotak Mahindra;Meios de Pagamento;Buson (Guichê Virtual);Marketplace Diversos;1;0;1;0;0;100;100;;0;02/07/2021 00:00;;false
Kovi;Information/Internet Services & IOT/M2M. Subscription & Apps OLD;Max Milhas;Varejo Especializado;1;0;1;0;0;400;400;;0;25/02/2022 00:00;;false
Kpmg;;Squadra IT;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Beta Learning;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Pixit;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Raccoon;Marketing Services;12;1;1;0;0;;;;1;26/05/2021 00:00;lluz@kpmg.com.br;false
Kpmg;;Escola Conquer;Ensino Superior;12;0;1;0;0;50;50;;1;01/07/2021 00:00;lluz@kpmg.com.br;false
Kpmg;;Hartb;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Monitora;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;K21;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Ioasys;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Benner;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Framework;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
Kpmg;;Zbra;IT Services;12;2;6;1;0;166.67;150;;2;11/02/2022 00:00;lluz@kpmg.com.br;false
KraftHeinz;Mercearia Seca. Condimentos e Produtos Saudáveis;Kisabor;Mercearia Seca. Condimentos e Produtos Saudáveis;5;0;0;0;0;;;;0;;daniel.szlak@kraftheinzcompany.com;true
KraftHeinz;Mercearia Seca. Condimentos e Produtos Saudáveis;Coco do Vale;Bebidas;5;0;1;0;0;;;;0;21/09/2021 00:00;daniel.szlak@kraftheinzcompany.com;false
KraftHeinz;Mercearia Seca. Condimentos e Produtos Saudáveis;Doce Mineiro;Lácteos. sorvetes e refrigerados;5;0;1;0;0;;;;0;;daniel.szlak@kraftheinzcompany.com;false
KraftHeinz;Mercearia Seca. Condimentos e Produtos Saudáveis;Ioasys;IT Services;5;0;1;0;0;200;200;;1;11/02/2022 00:00;daniel.szlak@kraftheinzcompany.com;false
KraftHeinz;Mercearia Seca. Condimentos e Produtos Saudáveis;Projeto Flores;Varejo Especializado;5;0;1;0;0;50;50;;0;25/02/2022 00:00;daniel.szlak@kraftheinzcompany.com;false
Krannich Solar;Distribuição industrial;Solar Prime;Distribuição industrial;2;0;2;0;0;40;40;;1;10/12/2021 00:00;j.stanton@br.krannich-solar.com;true
Krannich Solar;Distribuição industrial;Aldo;Distribuição industrial;2;0;2;0;0;40;40;;1;10/12/2021 00:00;j.stanton@br.krannich-solar.com;true
Kraton Corporation;Embalagens;Koretech;Embalagens;1;0;1;0;0;200;200;;0;;walid.ardhaoui@kraton.com;true
Krona;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Viqua;Materiais Básicos e Produtos para Construção (Indústria e Varejo);1;1;0;0;1;200;200;26/06/2022 19:47;0;;perin@krona.com.br;true
Krone;;J. Assy;Agricultura de precisão/implementos;1;0;0;0;0;;;;0;;;false
Kronospan;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Artefama 2021;Materiais Básicos e Produtos para Construção (Indústria e Varejo);1;0;0;0;0;;;;0;;;true
Kroton Educacional;Educação;Colégio GGE;Ensino Básico;4;1;1;0;0;;;;0;;fabio.panhoni@kroton.com.br;false
Kroton Educacional;Educação;Escola Conquer;Ensino Superior;4;1;1;0;0;50;50;;1;01/07/2021 00:00;fabio.panhoni@kroton.com.br;false
Kroton Educacional;Educação;Fesar;Educação;4;0;1;0;0;;;;1;03/11/2020 00:00;fabio.panhoni@kroton.com.br;true
Kroton Educacional;Educação;Ioasys;IT Services;4;1;1;0;0;200;200;;1;11/02/2022 00:00;fabio.panhoni@kroton.com.br;false
Kuarup Capital;;Halipar;Restaurantes & Delivery;7;0;1;0;0;200;200;;0;;guilherme.gazzoni@kuarupcapital.com;false
Kuarup Capital;;E-law 2021;Software;7;0;3;1;0;90;90;;0;04/04/2022 00:00;guilherme.gazzoni@kuarupcapital.com;false
Kuarup Capital;;Skymail;IT Services;7;0;1;0;0;60;60;;0;11/02/2022 00:00;guilherme.gazzoni@kuarupcapital.com;false
Kuarup Capital;;MedMais;Serviços Terceirizados (limpeza. segurança e catering);7;0;0;0;0;100;100;;0;24/06/2022 00:00;guilherme.gazzoni@kuarupcapital.com;false
Kuarup Capital;;LanLimp 2022;Distribuição industrial;7;0;1;0;0;;;;0;10/12/2021 00:00;guilherme.gazzoni@kuarupcapital.com;false
Kuarup Capital;;Cedro Tech;Software;7;0;3;1;0;90;90;;0;04/04/2022 00:00;guilherme.gazzoni@kuarupcapital.com;false
Kuarup Capital;;SmartNX;Software;7;0;3;1;0;90;90;;0;04/04/2022 00:00;guilherme.gazzoni@kuarupcapital.com;false
Kubota Chemix;Industria e distribuição de Químicos & Ingredientes;Plastilit SA;Industria e distribuição de Químicos & Ingredientes;2;0;2;0;0;;;;0;01/12/2021 00:00;;true
Kubota Chemix;Industria e distribuição de Químicos & Ingredientes;Plastilit SA;Industria e distribuição de Químicos & Ingredientes;2;0;2;0;0;;;;0;01/12/2021 00:00;;true
Kuehne & Nagel;;Luft;Logistica;3;0;1;0;1;575;575;24/03/2022 18:57;0;30/10/2020 00:00;eduardo.razuck@kuehne-nagel.com;false
Kuehne & Nagel;;Inter Aduaneira;;3;;;;;;;;;;eduardo.razuck@kuehne-nagel.com;false
Kuehne & Nagel;;PH Transportes;Serviços Terceirizados (limpeza. segurança e catering);3;0;1;0;0;700;700;;0;24/06/2022 00:00;eduardo.razuck@kuehne-nagel.com;false
Kuehne & Nagel;;Vendemmia;Logistica;3;0;1;0;1;575;575;24/03/2022 18:57;0;30/10/2020 00:00;eduardo.razuck@kuehne-nagel.com;false
Kuhn do Brasil;Indústria Pesada. Máquinas e Equipamentos;J. Assy;Agricultura de precisão/implementos;1;1;1;0;0;;;;0;;thierry.krier@kuhn.com;false
Kumiai Chemical;Fertilizantes & Defensivos;Adfert;Fertilizantes & Defensivos;1;0;1;0;0;300;300;;0;03/02/2022 00:00;;true
Kuraray;Embalagens;Softfilm;Embalagens;1;0;1;0;0;400;400;;0;;;true
Kurita;Industria e distribuição de Químicos & Ingredientes;GR Química;Industria e distribuição de Químicos & Ingredientes;1;0;0;0;0;250;250;;0;01/12/2021 00:00;kantaro.inoue@kurita.co.jp;true
Kustomer;SaaS - Generalistas;NeoAssist;IT Services;1;0;0;0;0;;;;1;11/02/2022 00:00;;false
Kybora;Fintech;Plenum;Dental & Medical devices (produção e distribuição);1;0;0;0;0;100;100;;0;03/06/2022 00:00;alejandro@kybora.com;false
Kyocera;Supermercados e Atacadistas;Tecnoset 2021;Locação de Ativos;2;0;2;0;0;100;100;;0;;nicholas.maimone@da.kyocera.com;false
Kyocera;Supermercados e Atacadistas;Arklok;Locação de Ativos;2;0;2;0;0;100;100;;0;;nicholas.maimone@da.kyocera.com;false
Kyowa Kirin;Indústria Farmacêutica;Bionatus 2022;Indústria Farmacêutica;1;0;1;0;0;50;50;;0;;;true
L Brands;Varejo Especializado;Plié;Varejo Especializado;2;0;0;0;0;;;;0;25/02/2022 00:00;david.decarlo@limitedbrands.com;true
L Brands;Varejo Especializado;Plié;Varejo Especializado;2;0;0;0;0;;;;0;25/02/2022 00:00;david.decarlo@limitedbrands.com;true
L'Occitane en Provence;Produtos de Uso Pessoal e Cosméticos;Projeto Flores;Varejo Especializado;6;0;2;0;0;50;50;;0;25/02/2022 00:00;thomas.levilion@loccitane.com;false
L'Occitane en Provence;Produtos de Uso Pessoal e Cosméticos;Skala;Produtos de Uso Pessoal e Cosméticos;6;0;1;0;0;600;600;;0;15/10/2021 00:00;thomas.levilion@loccitane.com;true
L'Occitane en Provence;Produtos de Uso Pessoal e Cosméticos;Salon Line;Produtos de Uso Pessoal e Cosméticos;6;0;1;0;0;600;600;;0;15/10/2021 00:00;thomas.levilion@loccitane.com;true
L'Occitane en Provence;Produtos de Uso Pessoal e Cosméticos;Vitabe;Produtos de Uso Pessoal e Cosméticos;6;0;1;0;0;600;600;;0;15/10/2021 00:00;thomas.levilion@loccitane.com;true
L'Occitane en Provence;Produtos de Uso Pessoal e Cosméticos;Bel Cosméticos;Varejo Especializado;6;0;2;0;0;50;50;;0;25/02/2022 00:00;thomas.levilion@loccitane.com;false
L'Occitane en Provence;Produtos de Uso Pessoal e Cosméticos;TM1;Marketing Services;6;0;0;0;0;120;120;;0;26/05/2021 00:00;thomas.levilion@loccitane.com;false
L'oreal;Produtos de Uso Pessoal e Cosméticos;Luft;Logistica;9;0;0;0;0;800;800;;0;30/10/2020 00:00;patrick.sabatier@loreal.com;false
L'oreal;Produtos de Uso Pessoal e Cosméticos;Forever Liss;Produtos de Uso Pessoal e Cosméticos;9;0;3;0;0;600;600;;1;15/10/2021 00:00;patrick.sabatier@loreal.com;true
L'oreal;Produtos de Uso Pessoal e Cosméticos;TM1;Marketing Services;9;0;1;0;0;120;120;;0;26/05/2021 00:00;patrick.sabatier@loreal.com;false
L'oreal;Produtos de Uso Pessoal e Cosméticos;Maian;Industria e distribuição de Químicos & Ingredientes;9;0;1;0;0;;;;0;01/12/2021 00:00;patrick.sabatier@loreal.com;false
L'oreal;Produtos de Uso Pessoal e Cosméticos;Vitabe;Produtos de Uso Pessoal e Cosméticos;9;0;3;0;0;600;600;;1;15/10/2021 00:00;patrick.sabatier@loreal.com;true
L'oreal;Produtos de Uso Pessoal e Cosméticos;Salon Line;Produtos de Uso Pessoal e Cosméticos;9;0;3;0;0;600;600;;1;15/10/2021 00:00;patrick.sabatier@loreal.com;true
L'oreal;Produtos de Uso Pessoal e Cosméticos;Nanovetores 2020;Industria e distribuição de Químicos & Ingredientes;9;0;1;0;0;;;;0;01/12/2021 00:00;patrick.sabatier@loreal.com;false
L'oreal;Produtos de Uso Pessoal e Cosméticos;Lola Cosmetics;Produtos de Uso Pessoal e Cosméticos;9;0;3;0;0;600;600;;1;15/10/2021 00:00;patrick.sabatier@loreal.com;true
L'oreal;Produtos de Uso Pessoal e Cosméticos;Skala;Produtos de Uso Pessoal e Cosméticos;9;0;3;0;0;600;600;;1;15/10/2021 00:00;patrick.sabatier@loreal.com;true
L.E.K. Consulting;Consulting;K21;IT Services;1;0;1;0;0;100;100;;0;11/02/2022 00:00;;false
LANXESS AG;Mercearia Seca. Condimentos e Produtos Saudáveis;Maian;Industria e distribuição de Químicos & Ingredientes;4;0;2;1;0;87.5;87.5;;0;01/12/2021 00:00;thomas.duletzki@lanxess.com;false
LANXESS AG;Mercearia Seca. Condimentos e Produtos Saudáveis;Azevedo Óleos;Mercearia Seca. Condimentos e Produtos Saudáveis;4;0;0;0;0;450;450;;0;;thomas.duletzki@lanxess.com;true
LANXESS AG;Mercearia Seca. Condimentos e Produtos Saudáveis;Aplinova;Industria e distribuição de Químicos & Ingredientes;4;0;2;1;0;87.5;87.5;;0;01/12/2021 00:00;thomas.duletzki@lanxess.com;false
LANXESS AG;Mercearia Seca. Condimentos e Produtos Saudáveis;Citróleo;Industria e distribuição de Químicos & Ingredientes;4;0;2;1;0;87.5;87.5;;0;01/12/2021 00:00;thomas.duletzki@lanxess.com;false
LATAM Airlines;Logistica;Beta Learning;IT Services;3;0;3;0;0;166.67;150;;1;11/02/2022 00:00;cadier.jerome@latam.com;false
LATAM Airlines;Logistica;Framework;IT Services;3;0;3;0;0;166.67;150;;1;11/02/2022 00:00;cadier.jerome@latam.com;false
LATAM Airlines;Logistica;Kunumi;IT Services;3;0;3;0;0;166.67;150;;1;11/02/2022 00:00;cadier.jerome@latam.com;false
LBB Specialties;Industria e distribuição de Químicos & Ingredientes;BSC Químicos;Industria e distribuição de Químicos & Ingredientes;2;0;1;0;0;200;200;;0;01/12/2021 00:00;;true
LBB Specialties;Industria e distribuição de Químicos & Ingredientes;Aplinova;Industria e distribuição de Químicos & Ingredientes;2;0;1;0;0;200;200;;0;01/12/2021 00:00;;true
LC Restaurantes;Restaurantes & Delivery;Halipar;Restaurantes & Delivery;1;0;1;0;0;200;200;;0;;;true
LCatterton;Asset Management;iByte;Varejo Especializado;22;0;3;1;0;400;400;;0;25/02/2022 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Pet Society;Pet (Indústria e Varejo);22;0;0;0;0;100;100;;0;;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Max Milhas;Varejo Especializado;22;0;3;1;0;400;400;;0;25/02/2022 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Ventisol;Indústria Pesada. Máquinas e Equipamentos;22;1;1;0;0;1.200;1.200;;0;06/05/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Skala;Produtos de Uso Pessoal e Cosméticos;22;0;1;0;0;600;600;;0;15/10/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Vitabe;Produtos de Uso Pessoal e Cosméticos;22;0;1;0;0;600;600;;0;15/10/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Plié;Varejo Especializado;22;0;3;1;0;400;400;;0;25/02/2022 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Medsystems;Dental & Medical devices (produção e distribuição);22;1;1;0;0;200;200;;0;03/06/2022 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Social Bank;Fintech;22;0;2;0;0;;;;0;31/08/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Piticas;Varejo Especializado;22;0;3;1;0;400;400;;0;25/02/2022 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Escola Conquer;Ensino Superior;22;1;1;1;0;50;50;;1;01/07/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Halipar;Restaurantes & Delivery;22;1;1;1;0;200;200;;0;;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Loja do Mecânico;Distribuição industrial;22;1;1;0;0;;;;1;10/12/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Caif;Industria e distribuição de Químicos & Ingredientes;22;0;2;0;0;120;120;;0;01/12/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Bel Cosméticos;Varejo Especializado;22;0;3;1;0;400;400;;0;25/02/2022 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Piramidal 2020;Industria e distribuição de Químicos & Ingredientes;22;0;2;0;0;120;120;;0;01/12/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Globalbev;Bebidas;22;1;2;1;0;100;100;;0;21/09/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Zanthus;Software;22;0;1;1;0;150;150;;0;04/04/2022 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Lola Cosmetics;Produtos de Uso Pessoal e Cosméticos;22;0;1;0;0;600;600;;0;15/10/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Coco do Vale;Bebidas;22;1;2;1;0;100;100;;0;21/09/2021 00:00;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Colégio GGE;Ensino Básico;22;1;1;0;0;;;;0;;julia.maffei@lcatterton.com;false
LCatterton;Asset Management;Bexs;Fintech;22;0;2;0;0;;;;0;31/08/2021 00:00;julia.maffei@lcatterton.com;false
LEAP Global Partners;;Oriente Me;Clínicas. Hospitais e Centros de Tratamento;1;0;0;0;0;80;80;;0;;;false
LEK Consulting;;Framework;IT Services;2;0;2;0;0;175;175;;0;11/02/2022 00:00;;false
LEK Consulting;;Kunumi;IT Services;2;0;2;0;0;175;175;;0;11/02/2022 00:00;;false
LG Electronics;;Ventisol;Indústria Pesada. Máquinas e Equipamentos;1;0;1;0;0;1.200;1.200;;0;06/05/2021 00:00;;false
LG Household & Health Care;Produtos de Uso Pessoal e Cosméticos;Salon Line;Produtos de Uso Pessoal e Cosméticos;2;0;0;0;0;800;800;;0;15/10/2021 00:00;davesong@lgcare.com;true
LG Household & Health Care;Produtos de Uso Pessoal e Cosméticos;Skala;Produtos de Uso Pessoal e Cosméticos;2;0;0;0;0;800;800;;0;15/10/2021 00:00;davesong@lgcare.com;true
LG Limagrain Brasil S.A;;Sementes Mauá;Distribuição Agro;2;0;1;0;0;200;200;;0;16/02/2022 00:00;cecile.richard@limagrain.com;false
LG Limagrain Brasil S.A;;Celena;Agricultura/Produção;2;0;0;0;0;200;200;;0;;cecile.richard@limagrain.com;false
LG Lugar de Gente;Consulting;Tangerino;Software;1;1;0;0;0;70;70;;1;04/04/2022 00:00;;false
LG Sistemas;SaaS - Setoriais;Kenoby;IT Services;7;0;3;0;0;142.5;135;;1;11/02/2022 00:00;thomas.khalil@lg.com.br;false
LG Sistemas;SaaS - Setoriais;AfferoLab;Consulting;7;1;1;0;0;;;;1;31/03/2022 00:00;thomas.khalil@lg.com.br;false
LG Sistemas;SaaS - Setoriais;Kunumi;IT Services;7;0;3;0;0;142.5;135;;1;11/02/2022 00:00;thomas.khalil@lg.com.br;false
LG Sistemas;SaaS - Setoriais;Framework;IT Services;7;0;3;0;0;142.5;135;;1;11/02/2022 00:00;thomas.khalil@lg.com.br;false
LG Sistemas;SaaS - Setoriais;SmartNX;Software;7;0;1;0;0;80;80;;0;04/04/2022 00:00;thomas.khalil@lg.com.br;false
LG Sistemas;SaaS - Setoriais;K21;IT Services;7;0;3;0;0;142.5;135;;1;11/02/2022 00:00;thomas.khalil@lg.com.br;false
LG Sistemas;SaaS - Setoriais;Oriente Me;Clínicas. Hospitais e Centros de Tratamento;7;1;0;0;0;80;80;;0;;thomas.khalil@lg.com.br;false
LKQ Corporation;Varejo Especializado;Imdepa;Distribuição industrial;2;0;0;0;0;150;150;;0;10/12/2021 00:00;;false
LKQ Corporation;Varejo Especializado;Pneubrás;Varejo Especializado;2;0;0;0;0;400;400;;0;25/02/2022 00:00;;true
LLYC - LLorente Y Cuenca;Marketing Services;Hartb;IT Services;2;0;0;0;0;150;150;;0;11/02/2022 00:00;;false
LLYC - LLorente Y Cuenca;Marketing Services;TM1;Marketing Services;2;0;1;0;0;120;120;;0;26/05/2021 00:00;;true
LM Frotas;Logistica;Suntech;IT Services;1;0;0;0;0;;;;0;11/02/2022 00:00;ricardo.soeiro@lmfrotas.com.br;false
LNJ Bhilwara Group;Apparel;Tecnotextil;Varejo Especializado;1;0;0;0;0;200;200;;0;25/02/2022 00:00;;false
LS Tractor;;J. Assy;Agricultura de precisão/implementos;1;0;0;0;0;;;;0;;;false
LSC Communications;Locação de Ativos;Tecnoset 2021;Locação de Ativos;1;0;1;0;0;80;80;;0;;;true
LTK;Marketing Services;TM1;Marketing Services;1;0;0;0;0;120;120;;0;26/05/2021 00:00;;true
LTS Investimentos;Asset Management;Max Milhas;Varejo Especializado;1;0;1;0;0;400;400;;0;25/02/2022 00:00;;false
LTS Investments;Asset Management;Terra Zoo;Varejo Especializado;17;0;1;1;0;120;120;;1;25/02/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Suhai 2020;Seguradoras & Corretoras de Seguros;17;1;1;0;0;;;;0;;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Raccoon;Marketing Services;17;0;1;1;0;;;;1;26/05/2021 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Trademaster;Fintech;17;0;2;0;0;;;;1;31/08/2021 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Nortis;Multi-family;17;1;1;0;0;150;150;;0;;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Medsystems;Dental & Medical devices (produção e distribuição);17;0;2;1;0;150;150;;0;03/06/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Méliuz;Marketing Services;17;0;1;1;0;;;;1;26/05/2021 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Nativa Agro;Fertilizantes & Defensivos;17;0;0;0;0;;;;0;03/02/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Algar Tech 2021;IT Services;17;0;2;1;0;500;500;;1;11/02/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Suhai 2020;Seguradoras & Corretoras de Seguros;17;1;1;0;0;;;;0;;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Kiko's;Varejo Especializado;17;0;1;1;0;120;120;;1;25/02/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Plenum;Dental & Medical devices (produção e distribuição);17;0;2;1;0;150;150;;0;03/06/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Bexs;Fintech;17;0;2;0;0;;;;1;31/08/2021 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Siagri + Datacoper;Software;17;1;2;2;0;100;100;;1;04/04/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Ioasys;IT Services;17;0;2;1;0;500;500;;1;11/02/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;DMCard 2020;Meios de Pagamento;17;0;1;0;0;200;200;;1;14/04/2022 00:00;ivan.moura@lts-investments.com;false
LTS Investments;Asset Management;Cedro Tech;Software;17;1;2;2;0;100;100;;1;04/04/2022 00:00;ivan.moura@lts-investments.com;false
LVMH;Varejo Especializado;TM1;Marketing Services;3;0;1;0;0;120;120;;0;26/05/2021 00:00;f.girard@lvmh.fr;false
LVMH;Varejo Especializado;Triya Beachwear;Varejo Especializado;3;0;0;0;0;80;80;;0;25/02/2022 00:00;f.girard@lvmh.fr;true
LVMH;Varejo Especializado;Triya Beachwear;Varejo Especializado;3;0;0;0;0;80;80;;0;25/02/2022 00:00;f.girard@lvmh.fr;true
La Basque;Lácteos. sorvetes e refrigerados;Sorvetes Jundiá;Lácteos. sorvetes e refrigerados;1;0;0;0;0;;;;0;;joe@baciodilatte.com.br;true
La Perla Fashion Holding;Varejo Especializado;Plié;Varejo Especializado;2;0;2;0;0;;;;0;25/02/2022 00:00;;true
La Perla Fashion Holding;Varejo Especializado;Plié;Varejo Especializado;2;0;2;0;0;;;;0;25/02/2022 00:00;;true
Labco;Análises e Diagnósticos;UDDO;Clínicas. Hospitais e Centros de Tratamento;1;0;1;1;0;;;;0;;;false
Laboratorio Reig Jofre;Industria e distribuição de Químicos & Ingredientes;Almeida Prado;Indústria Farmacêutica;1;0;1;0;0;300;300;;0;;rgomila@reigjofre.com;false
Laboratorios Sabin;Análises e Diagnósticos;Laboratório Núcleo;Análises e Diagnósticos;7;0;1;0;0;150;150;;0;;guilhermeoliveira@sabin.com.br;true
Laboratorios Sabin;Análises e Diagnósticos;ICTR 2021;Clínicas. Hospitais e Centros de Tratamento;7;1;4;0;0;140;140;;0;;guilhermeoliveira@sabin.com.br;false
Laboratorios Sabin;Análises e Diagnósticos;Cérebro e Coluna;Clínicas. Hospitais e Centros de Tratamento;7;1;4;0;0;140;140;;0;;guilhermeoliveira@sabin.com.br;false
Laboratorios Sabin;Análises e Diagnósticos;ICTR;Clínicas. Hospitais e Centros de Tratamento;7;1;4;0;0;140;140;;0;;guilhermeoliveira@sabin.com.br;false
Laboratorios Sabin;Análises e Diagnósticos;UDDO;Clínicas. Hospitais e Centros de Tratamento;7;1;4;0;0;140;140;;0;;guilhermeoliveira@sabin.com.br;false
Laboratorios Sabin;Análises e Diagnósticos;Oriente Me;Clínicas. Hospitais e Centros de Tratamento;7;1;4;0;0;140;140;;0;;guilhermeoliveira@sabin.com.br;false
Laboratorios Sabin;Análises e Diagnósticos;BR Med;Clínicas. Hospitais e Centros de Tratamento;7;1;4;0;0;140;140;;0;;guilhermeoliveira@sabin.com.br;false
Laboratory Corporation of America Holdings;Clínicas. Hospitais e Centros de Tratamento;Kunumi;IT Services;1;0;1;0;0;150;150;;0;11/02/2022 00:00;;false
Laboratório Canonne;Indústria Farmacêutica;Almeida Prado;Indústria Farmacêutica;1;0;1;0;0;300;300;;0;;lcamara@canonne.com.br;true
Lactalis;Lácteos. sorvetes e refrigerados;Doce Mineiro;Lácteos. sorvetes e refrigerados;2;0;1;0;0;;;;0;;erick.boutry@lactalis.fr;true
Lactalis;Lácteos. sorvetes e refrigerados;Coco do Vale;Bebidas;2;0;1;0;0;;;;0;21/09/2021 00:00;erick.boutry@lactalis.fr;false
LafargeHolcim;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Emal;Fertilizantes. especiais. químicos e sementes OLD;2;0;1;0;0;;;;1;23/03/2021 00:00;;false
LafargeHolcim;Materiais Básicos e Produtos para Construção (Indústria e Varejo);PH Transportes;Serviços Terceirizados (limpeza. segurança e catering);2;0;0;0;0;700;700;;0;24/06/2022 00:00;;false
Laiye;;E-law 2021;Software;1;0;1;0;0;;;;0;04/04/2022 00:00;andy@laiye.com;false
Lakewood Investment Management;Wealth Management;Suhai 2020;Seguradoras & Corretoras de Seguros;4;1;1;0;0;;;;0;;fabio@lkwd.com.br;false
Lakewood Investment Management;Wealth Management;VIP Office;Laje Comercial;4;0;0;0;0;;;;0;;fabio@lkwd.com.br;false
Lakewood Investment Management;Wealth Management;Nortis;Multi-family;4;0;0;0;0;150;150;;0;;fabio@lkwd.com.br;false
Lakewood Investment Management;Wealth Management;Recebíveis NYC | Hotel Pirâmide (Recebíveis);Hotelaria;4;0;1;0;0;;;;0;;fabio@lkwd.com.br;false
Lallemand;;Rancho Alegre;Nutrição animal;1;0;1;0;0;;;;0;;tpollock@lallemand.com;false
Land O' Lakes;Distribuição Agro;Café Brasil;Mercearia Seca. Condimentos e Produtos Saudáveis;3;0;1;0;0;;;;0;;;false
Land O' Lakes;Distribuição Agro;Rancho Alegre;Nutrição animal;3;0;0;0;0;;;;0;;;false
Land O' Lakes;Distribuição Agro;Desempar;Distribuição Agro;3;0;1;0;0;;;;1;16/02/2022 00:00;;true
Landing AI;SaaS - Setoriais;Kunumi;IT Services;1;0;1;1;0;150;150;;0;11/02/2022 00:00;;false
